,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.22,0.51,0.07,0.34,1.0,0.34,1.0,0.28,0.06,0.52,0.54,0.24,0.34,0.37,0.18,0.07,0.31,0.23,1.0
1,1.0,0.39,1.0,0.49,0.24,1.0,0.25,1.0,1.0,0.28,0.99,0.53,0.58,0.24,0.44,0.24,0.26,0.19,0.45,1.0
2,1.0,0.51,1.0,0.48,0.33,1.0,0.64,1.0,1.0,0.38,0.48,0.32,0.62,0.66,0.75,0.36,0.39,0.36,0.76,1.0
3,1.0,0.61,1.0,0.54,0.29,1.0,0.58,1.0,1.0,1.0,0.95,0.66,0.55,0.52,0.9,0.33,0.43,0.41,0.94,1.0
4,1.0,0.64,1.0,0.57,0.37,1.0,0.66,1.0,1.0,1.0,0.98,0.87,0.68,0.67,0.86,0.37,0.35,0.33,1.0,1.0
5,1.0,0.65,1.0,0.49,0.36,1.0,0.65,1.0,1.0,1.0,0.96,1.0,0.62,0.65,1.0,0.38,0.32,0.4,1.0,1.0
6,1.0,0.63,1.0,0.56,0.39,1.0,0.76,1.0,1.0,1.0,0.99,1.0,0.66,0.76,1.0,0.33,0.4,0.38,1.0,1.0
7,1.0,0.61,1.0,0.44,0.29,1.0,0.72,1.0,1.0,1.0,0.97,1.0,0.62,0.72,1.0,0.45,0.39,0.41,1.0,1.0
8,1.0,0.68,1.0,0.54,0.34,1.0,0.66,1.0,1.0,1.0,1.0,1.0,0.66,0.68,0.98,0.3,0.48,0.34,1.0,1.0
9,1.0,0.58,1.0,0.5,0.34,1.0,0.67,1.0,1.0,1.0,0.97,1.0,0.61,0.68,0.99,0.38,0.35,0.46,1.0,1.0
10,1.0,0.62,1.0,0.5,0.31,1.0,0.7,1.0,1.0,1.0,0.95,1.0,0.61,0.72,0.98,0.36,0.3,0.34,1.0,1.0
11,1.0,0.6,1.0,0.51,0.39,1.0,0.71,1.0,1.0,1.0,0.98,1.0,0.66,0.72,0.99,0.35,0.45,0.37,1.0,1.0
12,1.0,0.54,1.0,0.54,0.35,1.0,0.64,1.0,1.0,1.0,0.98,1.0,0.53,0.64,1.0,0.28,0.34,0.4,1.0,1.0
13,1.0,0.99,1.0,0.63,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,0.67,1.0,0.52,0.35,1.0,0.65,1.0,1.0,1.0,0.98,1.0,0.61,0.65,1.0,0.32,0.32,0.32,1.0,1.0
15,1.0,1.0,1.0,0.66,0.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,0.62,1.0,0.43,0.31,1.0,0.7,1.0,1.0,1.0,0.96,1.0,0.67,0.71,0.99,0.38,0.34,0.27,1.0,1.0
