,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.0,0.1675,0.4771,0.0908,0.3163,1.0,0.332,1.0,0.2569,0.0518,0.4482,0.5167,0.301,0.3301,0.3531,0.1931,0.1031,0.243,0.3125,1.0
1,1.0,0.318,1.0,0.5052,0.3245,1.0,0.3288,1.0,1.0,0.2971,0.9534,0.5406,0.6261,0.3289,0.502,0.2485,0.3143,0.2217,0.5116,1.0
2,1.0,0.526,1.0,0.5084,0.3258,1.0,0.6538,1.0,1.0,0.4128,0.4815,0.3426,0.6287,0.6744,0.7723,0.3408,0.3684,0.3507,0.7881,1.0
3,1.0,0.6122,0.9996,0.5118,0.3287,1.0,0.6104,1.0,0.9996,0.9996,0.9737,0.6656,0.6275,0.5089,0.907,0.351,0.3714,0.3633,0.922,0.9996
4,1.0,0.6149,1.0,0.5124,0.3264,1.0,0.6588,1.0,1.0,1.0,0.9758,0.8854,0.6224,0.6751,0.8695,0.3593,0.3785,0.3664,1.0,1.0
5,1.0,0.6124,1.0,0.5172,0.3307,1.0,0.661,1.0,1.0,1.0,0.974,1.0,0.622,0.6785,0.9825,0.3519,0.3753,0.3593,1.0,1.0
6,1.0,0.6141,1.0,0.5154,0.3378,1.0,0.656,1.0,1.0,1.0,0.977,1.0,0.6307,0.6709,0.9851,0.3506,0.3651,0.3577,1.0,1.0
7,1.0,0.6074,1.0,0.5129,0.3277,1.0,0.6527,1.0,1.0,1.0,0.974,1.0,0.6271,0.6703,0.982,0.3528,0.3753,0.3558,1.0,1.0
8,1.0,0.6052,1.0,0.5053,0.3294,1.0,0.6535,1.0,1.0,1.0,0.9727,1.0,0.628,0.6699,0.9835,0.3477,0.3623,0.3614,1.0,1.0
9,1.0,0.6113,1.0,0.5127,0.3262,1.0,0.6609,1.0,1.0,1.0,0.9748,1.0,0.6171,0.676,0.9847,0.3407,0.3647,0.3549,1.0,1.0
